vqa_id,video_id,start_time,end_time,object_name
0,P03-20240218-202148,00:09:24.366,00:09:34.366,The cupboard.
1,P01-20240203-150506,00:01:02.466,00:01:12.466,The sponge.
2,P04-20240413-151722,00:02:01.833,00:02:11.833,The jars of salt.
3,P01-20240203-130505,00:07:02.566,00:07:12.566,The pot.
4,P05-20240427-143353,00:13:19.566,00:13:29.566,The recycling container lid.
5,P05-20240425-201444,00:20:57.366,00:21:07.366,The glass.
6,P01-20240203-150506,00:04:24.866,00:04:34.866,The sponge.
7,P07-20240530-102543,00:00:48.466,00:00:58.466,The knife.
8,P02-20240210-100308,00:02:21.566,00:02:31.566,The apples.
9,P02-20240211-111219,00:00:38.566,00:00:48.566,The kitchen roll.
10,P07-20240529-194518,00:24:06.200,00:24:16.200,The wooden spatula.
11,P05-20240425-082420,00:02:29.666,00:02:39.666,The knife.
12,P03-20240218-101509,00:00:19.233,00:00:29.233,The plate.
13,P09-20240624-160737,00:25:13.366,00:25:23.366,The plate.
14,P05-20240427-143353,00:05:28.733,00:05:38.733,The tin of coconut milk.
15,P08-20240614-184945,00:06:53.233,00:07:03.233,The clip.
16,P09-20240624-160737,00:03:33.033,00:03:43.033,The bottle of oil.
17,P01-20240203-184045,00:00:15.000,00:00:25.000,The spatula.
18,P08-20240617-130401,00:28:41.066,00:28:51.066,The tea towel.
19,P07-20240531-101357,00:10:19.866,00:10:29.866,The dish scrubber.
20,P08-20240617-130401,00:19:50.666,00:20:00.666,The vegetables.
21,P03-20240217-150310,00:02:41.733,00:02:51.733,The dirty spoons.
22,P03-20240217-094713,00:02:24.800,00:02:34.800,The bread.
23,P05-20240425-173353,00:01:39.933,00:01:49.933,The knife.
24,P05-20240425-173353,00:02:40.566,00:02:50.566,The mixing bowl.
25,P07-20240529-194518,00:09:50.200,00:10:00.200,The frying pan.
26,P09-20240624-165332,00:11:46.766,00:11:56.766,The tea towel.
27,P04-20240414-181030,00:18:12.900,00:18:22.900,The pressure cooker.
28,P07-20240531-101357,00:15:44.700,00:15:54.700,The wooden scrubbing brush.
29,P02-20240209-194141,00:02:46.633,00:02:56.633,The bowl.
30,P03-20240218-144430,00:05:26.200,00:05:36.200,The little sponge.
31,P07-20240531-101357,00:04:35.266,00:04:45.266,The metal grille.
32,P03-20240217-152152,00:01:10.333,00:01:20.333,The laundry conditioner cap.
33,P08-20240617-130401,00:29:23.433,00:29:33.433,The box.
34,P05-20240427-143353,00:13:01.500,00:13:11.500,The garlic.
35,P08-20240618-171546,00:02:14.466,00:02:24.466,The wok.
36,P07-20240530-102543,00:19:11.133,00:19:21.133,The flour.
37,P07-20240529-194518,00:14:08.800,00:14:18.800,The tupperware container.
38,P06-20240510-100047,00:23:32.500,00:23:42.500,The notebook.
39,P05-20240425-201444,00:15:22.466,00:15:32.466,The oven glove.
40,P07-20240529-194518,00:22:48.366,00:22:58.366,The lettuce bag.
41,P03-20240218-202148,00:02:33.200,00:02:43.200,The frying pan.
42,P02-20240210-100308,00:02:43.900,00:02:53.900,The bag of tortilla chips.
43,P09-20240624-160737,00:33:30.466,00:33:40.466,The towel.
44,P09-20240622-154652,00:04:25.466,00:04:35.466,The bottle of washing up liquid.
45,P08-20240617-130401,00:08:38.933,00:08:48.933,The tomato container.
46,P07-20240531-101357,00:05:36.033,00:05:46.033,The drying mat.
47,P05-20240425-201444,00:15:49.133,00:15:59.133,The scales.
48,P05-20240425-173353,00:02:17.466,00:02:27.466,The box of food.
49,P05-20240425-173353,00:05:25.466,00:05:35.466,The glass mixing bowl.
50,P05-20240427-143353,00:18:53.966,00:19:03.966,The towel.
51,P01-20240203-130505,00:06:43.533,00:06:53.533,The plate.
52,P03-20240217-150310,00:09:23.100,00:09:33.100,The left chair.
53,P08-20240614-184945,00:12:39.600,00:12:49.600,The tongs.
54,P01-20240202-195538,00:01:42.966,00:01:52.966,The plastic container of soup.
55,P09-20240624-160737,00:11:33.733,00:11:43.733,The bowl of onions.
56,P02-20240211-104948,00:03:15.300,00:03:25.300,The bowl.
57,P07-20240529-102652,00:01:03.600,00:01:13.600,The metal ring.
58,P04-20240414-181030,00:04:19.766,00:04:29.766,The lid of pressure cooker.
59,P05-20240427-145526,00:01:37.933,00:01:47.933,The pan lid.
60,P05-20240425-201444,00:18:25.033,00:18:35.033,The pan.
61,P03-20240217-150310,00:09:17.400,00:09:27.400,The left tea towel.
62,P08-20240614-184945,00:02:22.066,00:02:32.066,The salmon skewer packaging.
63,P02-20240211-111219,00:02:01.133,00:02:11.133,The container of sugar.
64,P07-20240531-101357,00:17:52.666,00:18:02.666,The wooden scrubbing brush.
65,P08-20240618-171546,00:14:31.566,00:14:41.566,The jar.
66,P05-20240425-171455,00:09:43.766,00:09:53.766,The pot.
67,P04-20240413-145245,00:09:12.500,00:09:22.500,The frying pan.
68,P07-20240531-201703,00:08:54.200,00:09:04.200,The phone.
69,P07-20240529-194518,00:08:06.200,00:08:16.200,The cheese block.
70,P08-20240617-130401,00:01:46.300,00:01:56.300,The cucumber.
71,P08-20240617-130401,00:07:55.466,00:08:05.466,The bag of celery.
72,P07-20240529-194518,00:14:53.133,00:15:03.133,The small block of cheese.
73,P01-20240203-130505,00:01:22.133,00:01:32.133,The pile of peeled carrots.
74,P08-20240617-130401,00:24:31.600,00:24:41.600,The top of pot.
75,P04-20240414-181030,00:01:34.866,00:01:44.866,The pressure cooker.
76,P03-20240218-202148,00:05:13.033,00:05:23.033,The dishwasher brush.
77,P07-20240530-111344,00:00:48.733,00:00:58.733,The notepad.
78,P03-20240217-150310,00:06:24.833,00:06:34.833,The bottle.
79,P09-20240624-165332,00:10:41.366,00:10:51.366,The tea towel.
80,P07-20240531-101357,00:38:20.966,00:38:30.966,The stool.
81,P02-20240211-115653,00:01:31.733,00:01:41.733,The large plastic spoon.
82,P07-20240529-102652,00:02:44.533,00:02:54.533,The cutlery.
83,P07-20240531-201703,00:00:36.666,00:00:46.666,The grater.
84,P07-20240529-194518,00:15:02.800,00:15:12.800,The glass of water.
85,P09-20240624-160737,00:04:39.300,00:04:49.300,The basket of vegetables.
86,P01-20240203-130505,00:00:40.666,00:00:50.666,The butter.
87,P07-20240531-201703,00:13:09.666,00:13:19.666,The garlic bulb.
88,P09-20240624-160737,00:34:18.366,00:34:28.366,The wooden spoon.
89,P07-20240531-201703,00:25:57.333,00:26:07.333,The can opener.
90,P05-20240425-201444,00:25:01.000,00:25:11.000,The ramekin.
91,P09-20240624-165332,00:01:18.966,00:01:28.966,The knife.
92,P08-20240618-171546,00:09:15.966,00:09:25.966,The mug holder.
